# Original Index for ladder proteins useable with TwoSix 100K chip
# Author: Jed Singer
dataset,name
Longxing,EEHEE_31292
Longxing,HEEH_07585
Longxing,HEEH_05146
Longxing,EEHEE_17954
Longxing,HEEH_23991
Longxing,HEEH_21570
Longxing,EHEE_03072
Longxing,HEEH_22689
Longxing,HEEH_19213
Longxing,EHEE_08886
Longxing,EHEE_01661
Longxing,HEEH_14017
Longxing,EHEE_01739
Longxing,HEEH_01452
Longxing,EHEE_01947
Longxing,HEEH_15455
Longxing,EEHEE_15423
Longxing,EEHEE_34702
Longxing,EEHEE_10510
Longxing,HEEH_04456
Longxing,HEEH_07703
Longxing,HEEH_10245
Longxing,HEEH_08273
Longxing,HEEH_20030
Longxing,EEHEE_08831
Longxing,EEHEE_38102
Longxing,HEEH_15767
Longxing,EHEE_07786
Longxing,HEEH_04917
Longxing,HEEH_17639
Longxing,EHEE_12548
Longxing,HEEH_07169
Longxing,HEEH_01860
Longxing,HEEH_09671
Longxing,EEHEE_08024
Longxing,HEEH_05548
Longxing,EEHEE_40757
Longxing,HEEH_20289
Longxing,HEEH_04209
Longxing,EHEE_09302
Longxing,EEHEE_07281
Longxing,HEEH_22356
Longxing,HEEH_09576
Longxing,HEEH_03086
Longxing,HEEH_21573
Longxing,HEEH_22443
Longxing,HEEH_16161
Longxing,HEEH_09879
Longxing,HEEH_19496
Longxing,EEHEE_03647
Longxing,HEEH_15725
Longxing,HEEH_21192
Longxing,EEHEE_05028
Longxing,EHEE_09709
Longxing,HEEH_14370
Longxing,HEEH_22629
Longxing,HEEH_19081
Longxing,EHEE_06354
Longxing,HEEH_13065
Longxing,EHEE_01056
Longxing,EHEE_11559
Longxing,HEEH_11260
Longxing,HEEH_01304
Longxing,HEEH_10102
Longxing,HEEH_04703
Longxing,HEEH_19559
Longxing,HEEH_24042
Longxing,HEEH_09067
Longxing,HEEH_14816
Longxing,HEEH_17666
Longxing,HEEH_19024
Longxing,EEHEE_32432
Inna,MSirpa_0193
Inna,p1-16H-GABBL-15H-GBL-16H_0827_0001_0001
Inna,HSirpa_0888
Inna,HSirpa_1751
Inna,HSirpa_1973
Inna,MSirpa_0714
Inna,HSirpa_2216
Inna,HSirpa_0418
Inna,HSirpa_0117
Inna,MSirpa_0054
Inna,MSirpa_0875
Inna,MSirpa_0820
Inna,HSirpa_0294
Inna,MSirpa_0141
Inna,p1-15H-GABBL-15H-GBL-15H_0053_0001_0001
Inna,HSirpa_2008
Inna,MSirpa_0275
Inna,HSirpa_1553
Inna,HSirpa_0175
Inna,HSirpa_1903
Inna,MSirpa_0067
Inna,HSirpa_0585
Inna,HSirpa_1733
Inna,HSirpa_2446
Inna,p1-14H-GBL-16H-GABBL-16H_0097_0001
Inna,HSirpa_0454
Inna,p1-16H-GBL-16H-GBL-15H_0508_0001_0001
Inna,MSirpa_0481
Inna,HSirpa_2487
Inna,MSirpa_0497
Inna,MSirpa_0969
Inna,HSirpa_2543
Inna,p1-14H-GBL-14H-BBL-15H_0819_0001_0001
