dataset,name,chip_name,ec50_t,ec50_c,ec50_95ci_t,ec50_95ci_c,chip_dataset
Longxing,EEHEE_31292,ladder_0,1.50774608768175,2.693072118299011,0.6000000000000001,0.20000000000000007,TwoSix_100K
Longxing,HEEH_07585,ladder_1,-0.06844166647992511,0.9713668714974956,2.3000000000000003,1.0,TwoSix_100K
Longxing,HEEH_05146,ladder_2,-0.06844166647992511,0.5139108119547142,2.5,2.9,TwoSix_100K
Longxing,EEHEE_17954,ladder_3,1.5449939463777482,2.6350253960968275,0.9000000000000004,0.7999999999999998,TwoSix_100K
Longxing,HEEH_23991,ladder_4,4.207605753005705,3.39209123033767,0.09999999999999963,0.09999999999999963,TwoSix_100K
Longxing,HEEH_21570,ladder_5,-0.06844166647992511,0.9713668714974064,2.5,1.0,TwoSix_100K
Longxing,EHEE_03072,ladder_6,4.275533808600424,3.337127067895288,0.09999999999999963,0.09999999999999963,TwoSix_100K
Longxing,HEEH_22689,ladder_7,1.8268201855520223,3.102256885935028,4.300000000000002,6.9,TwoSix_100K
Longxing,HEEH_19213,ladder_8,0.5114981308412445,0.9928690321262386,0.3999999999999999,0.3999999999999999,TwoSix_100K
Longxing,EHEE_08886,ladder_9,-0.06844166647992511,-0.043641068429632224,2.3000000000000003,2.5,TwoSix_100K
Longxing,EHEE_01661,ladder_10,2.9262466579483863,2.5735274819248386,9.6,9.6,TwoSix_100K
Longxing,HEEH_14017,ladder_11,0.0439549696114192,0.4509588363469241,2.1,0.2999999999999998,TwoSix_100K
Longxing,EHEE_01739,ladder_12,0.3955681871197523,-0.043641068429632224,2.7,2.5,TwoSix_100K
Longxing,HEEH_01452,ladder_13,2.9262466579483863,1.7059814767211772,9.6,3.9,TwoSix_100K
Longxing,EHEE_01947,ladder_14,-0.18954801154614653,1.3512560075868587,2.1,1.0,TwoSix_100K
Longxing,HEEH_15455,ladder_15,1.5565296264045574,2.3051837635053265,0.8000000000000003,0.20000000000000007,TwoSix_100K
Longxing,EEHEE_15423,ladder_16,2.9262466579483863,2.5735274819248386,9.6,9.6,TwoSix_100K
Longxing,EEHEE_34702,ladder_17,-8.885108262668416e-05,0.2951961524266129,2.1,0.20000000000000007,TwoSix_100K
Longxing,EEHEE_10510,ladder_18,-0.06844166647992511,0.7375699841190373,2.3000000000000003,1.7000000000000002,TwoSix_100K
Longxing,HEEH_04456,ladder_19,0.3915409386173097,0.34506740790137536,0.3999999999999999,1.9,TwoSix_100K
Longxing,HEEH_07703,ladder_20,3.2244496679788104,3.2734987558200634,0.10000000000000052,0.09999999999999963,TwoSix_100K
Longxing,HEEH_10245,ladder_21,1.0120067876934629,2.2134397002531845,0.6000000000000001,0.1999999999999993,TwoSix_100K
Longxing,HEEH_08273,ladder_22,1.684659885978138,1.7508380306024796,0.8000000000000003,0.7999999999999998,TwoSix_100K
Longxing,HEEH_20030,ladder_23,2.3003223795823167,2.4365447968159892,0.20000000000000007,0.20000000000000007,TwoSix_100K
Longxing,EEHEE_08831,ladder_24,1.8268201855520223,1.7382423058850816,4.300000000000002,4.199999999999998,TwoSix_100K
Longxing,EEHEE_38102,ladder_25,1.4761610595349377,2.6305790616704927,1.1000000000000003,0.5999999999999996,TwoSix_100K
Longxing,HEEH_15767,ladder_26,0.2419126875401985,1.3347574636917838,2.3000000000000003,0.3999999999999999,TwoSix_100K
